file_path,filename,file_size,directory,file_type
youtube_downloads/James_Kirton_OPS_Typing_3_Ops 3â§¸3 Well done you made it through da madness. Final video..info.json,James_Kirton_OPS_Typing_3_Ops 3â§¸3 Well done you made it through da madness. Final video..info.json,492812,youtube_downloads,.json
youtube_downloads/James_Kirton_CRG_Typing_0_CRG Tying Video James Kirton.info.json,James_Kirton_CRG_Typing_0_CRG Tying Video James Kirton.info.json,1809,youtube_downloads,.json
youtube_downloads/James_Kirton_OPS_Typing_0_OPS Typing Video.info.json,James_Kirton_OPS_Typing_0_OPS Typing Video.info.json,1799,youtube_downloads,.json
youtube_downloads/James_Kirton_CRG_Typing_1_CRG TYPING VIDEO PART 1.info.json,James_Kirton_CRG_Typing_1_CRG TYPING VIDEO PART 1.info.json,483674,youtube_downloads,.json
youtube_downloads/James_Kirton_OPS_Typing_2_OPS Typing Video Part 2 of 3.info.json,James_Kirton_OPS_Typing_2_OPS Typing Video Part 2 of 3.info.json,472829,youtube_downloads,.json
youtube_downloads/James_Kirton_OPS_Typing_1_OPS Typing Video Part 1.info.json,James_Kirton_OPS_Typing_1_OPS Typing Video Part 1.info.json,471125,youtube_downloads,.json
youtube_downloads/James_Kirton_CRG_Typing_2_CRG TYPING VIDEO Part 2 ðŸ¦‹.info.json,James_Kirton_CRG_Typing_2_CRG TYPING VIDEO Part 2 ðŸ¦‹.info.json,480672,youtube_downloads,.json
drive_downloads/download_mapping.json,download_mapping.json,29545,drive_downloads,.json
drive_downloads/files/IMG_0084.MOV,IMG_0084.MOV,0,drive_downloads/files,.MOV
drive_downloads/files/row_429_IMG_0084.MOV,row_429_IMG_0084.MOV,189781486,drive_downloads/files,.MOV
